date	txCount	price(USD)
2017-10-13	379136	304.08
2017-10-14	332169	338.85
2017-10-15	328921	339.53
2017-10-16	408297	336.71
2017-10-17	505611	333.48
2017-10-18	470449	316.94
2017-10-19	494184	314.54
2017-10-20	546837	308.05
2017-10-21	462902	303.57
2017-10-22	435493	300.55
2017-10-23	468168	295.1
2017-10-24	492288	287.12
2017-10-25	460419	298.44
2017-10-26	466406	298.02
2017-10-27	486147	296.51
2017-10-28	484554	297.92
2017-10-29	494176	296.38
2017-10-30	532626	304.78
2017-10-31	519906	307.38
2017-11-01	527783	305.76
2017-11-02	529277	290.73
2017-11-03	485790	288.5
2017-11-04	398758	305.48
2017-11-05	417102	300.04
2017-11-06	511663	296.43
2017-11-07	470418	298.57
2017-11-08	480413	294.27
2017-11-09	467172	308.64
2017-11-10	457427	320.67
2017-11-11	394378	298.59
2017-11-12	434380	314.69
2017-11-13	443176	307.02
2017-11-14	475984	316.76
2017-11-15	540593	337.96
2017-11-16	491482	333.44
2017-11-17	508590	330.17
2017-11-18	459679	331.98
2017-11-19	464563	347.4
2017-11-20	530141	354.09
2017-11-21	524044	367.44
2017-11-22	546489	360.31
2017-11-23	537068	381.44
2017-11-24	525529	412.5
2017-11-25	561166	475.68
2017-11-26	542484	465.97
2017-11-27	608695	471.53
2017-11-28	638989	480.52
2017-11-29	663579	473.28
2017-11-30	655457	431.21
2017-12-01	622720	445.21
2017-12-02	627785	466.85
2017-12-03	693808	463.7
2017-12-04	701834	466.05
2017-12-05	693090	470.29
2017-12-06	791746	462.6
2017-12-07	659068	426.37
2017-12-08	766411	434.99
2017-12-09	707223	457.34
2017-12-10	716575	472.79
2017-12-11	828899	440.36
2017-12-12	872340	522.29
2017-12-13	909631	644.91
2017-12-14	942559	700.59
2017-12-15	904346	696.38
2017-12-16	899857	686.19
2017-12-17	876574	696.24
2017-12-18	984021	721.73
2017-12-19	1092234	793.9
2017-12-20	986104	827.52
2017-12-21	1072665	820.24
2017-12-22	1103523	822.64
2017-12-23	918881	681.32
2017-12-24	758234	721.77
2017-12-25	752361	698.87
2017-12-26	813510	763.37
2017-12-27	912752	774.97
2017-12-28	949503	762.21
2017-12-29	1090191	740.39
2017-12-30	1136659	753.82
2017-12-31	946981	712.21
2018-01-01	908945	755.76
2018-01-02	1153936	772.35
2018-01-03	1238030	886
2018-01-04	1349890	961.71
2018-01-05	1271577	975.75
2018-01-06	1226417	995.15
2018-01-07	1152722	1043.01
2018-01-08	1215473	1158.26
2018-01-09	1256240	1146
2018-01-10	1177685	1300.34
2018-01-11	1173965	1268.09
2018-01-12	1118757	1158.29
2018-01-13	1179321	1270.47
2018-01-14	1081593	1397.48
2018-01-15	1206420	1365.21
2018-01-16	1277936	1292.63
2018-01-17	1277083	1061.34
2018-01-18	1205184	1016.44
2018-01-19	1043257	1028.82
2018-01-20	984489	1044.95
2018-01-21	1006530	1155.68
2018-01-22	972911	1055.35
2018-01-23	928494	1004.17
2018-01-24	913668	987.48
2018-01-25	788515	1063.22
2018-01-26	953429	1052.7
2018-01-27	831992	1055.75
2018-01-28	889104	1111.78
2018-01-29	936845	1246.7
2018-01-30	906578	1184.13
2018-01-31	877284	1071.09
2018-02-01	1008759	1119.37
2018-02-02	981133	1035.77
2018-02-03	814486	919.21
2018-02-04	800876	964.67
2018-02-05	875761	834.96
2018-02-06	888219	707.74
2018-02-07	818625	790.43
2018-02-08	681344	755.84
2018-02-09	789807	818.48
2018-02-10	848390	882.47
2018-02-11	773496	859.29
2018-02-12	829020	817.51
2018-02-13	745822	869.29
2018-02-14	746384	844.28
2018-02-15	777318	923.73
2018-02-16	704758	934.79
2018-02-17	772079	944.75
2018-02-18	756092	973.35
2018-02-19	811384	921.67
2018-02-20	886897	943.57
2018-02-21	850504	894.13
2018-02-22	761893	849.26
2018-02-23	733084	811.59
2018-02-24	732861	861.59
2018-02-25	690582	839.46
2018-02-26	737453	845.28
2018-02-27	694583	870.37
2018-02-28	720368	877.93
2018-03-01	684404	856.01
2018-03-02	744666	871.76
2018-03-03	673465	856.71
2018-03-04	643241	856.19
2018-03-05	752756	866.85
2018-03-06	712591	853.82
2018-03-07	783757	816.27
2018-03-08	690139	752.57
2018-03-09	650058	702.2
2018-03-10	591377	730.16
2018-03-11	608899	685.31
2018-03-12	677908	724.41
2018-03-13	699093	698.15
2018-03-14	671198	691.22
2018-03-15	654531	614.84
2018-03-16	654584	611.78
2018-03-17	593203	601.68
2018-03-18	684094	551.64
2018-03-19	703891	546.63
2018-03-20	661791	556.72
2018-03-21	697872	559.1
2018-03-22	619453	562.1
2018-03-23	677103	539.86
2018-03-24	613203	542.57
2018-03-25	526372	522.7
2018-03-26	626615	524.29
2018-03-27	584055	489.59
2018-03-28	579858	450.29
2018-03-29	583673	448.07
2018-03-30	633616	385.9
2018-03-31	584396	395
2018-04-01	545141	397.25
2018-04-02	598505	379.7
2018-04-03	645977	387.31
2018-04-04	628441	416.49
2018-04-05	695871	379.95
2018-04-06	647981	382.73
2018-04-07	535865	370.38
2018-04-08	595733	385.74
2018-04-09	609799	400.86
2018-04-10	571388	399.41
2018-04-11	609102	415.02
2018-04-12	692606	430.16
